SQ_2157,SQ_1990,SQ_2010,SQ_2163,SQ_2204,SQ_2212,SQ_2216,SQ_2222,SQ_2288,SQ_2303,SQ_2298,SQ_2145,GSM2058021,GSM2058022,GSM2058023
reg_6364,8,1,1,97,1,13,3,12,24,19,47,4,85,34,185
reg_6365,26,20,27,47,58,67,47,52,65,21,43,11,79,56,216
reg_6366,1,9,1,6,1,1,1,7,1,1,45,1,65,44,169
reg_6367,1,1,1,21,2,14,4,5,2,1,52,29,132,66,188
reg_6368,1,1,15,17,6,10,6,1,11,5,11,3,11,23,56
reg_6369,184,304,215,661,278,519,466,435,500,267,1045,297,1950,1562,3860
reg_6370,28,1,2,92,15,21,19,50,49,1,57,9,91,44,136
reg_6371,141,290,281,673,196,398,438,303,451,188,666,222,1793,1409,3416
reg_6372,1,1,3,26,3,1,1,1,1,1,39,1,39,25,222
reg_6373,63,86,112,293,70,168,55,99,268,135,187,31,580,229,894
reg_6374,13,26,35,51,32,32,6,14,134,16,35,15,70,54,93
reg_6375,1,9,23,33,1,22,29,12,50,38,15,1,4,1,3
reg_6376,15,17,24,39,14,19,34,30,63,20,10,1,30,35,47
reg_6377,123,75,155,214,118,132,219,226,295,97,110,42,378,286,687
reg_6378,1,1,40,29,19,25,7,22,40,10,42,19,31,28,46
reg_6379,35,34,32,62,65,70,55,44,100,26,26,16,73,58,195
reg_6380,60,81,88,187,90,78,262,122,145,45,62,1,77,52,242
reg_6381,1,38,24,20,20,1,8,3,27,1,57,12,95,42,137
reg_6382,98,95,110,84,63,113,105,66,124,14,103,30,141,78,206
reg_6383,22,6,16,1,5,1,5,15,22,1,34,12,55,64,86
reg_6384,12,38,5,57,14,28,40,28,56,1,145,30,278,170,418
reg_6385,20,29,1,22,17,2,15,9,58,1,68,8,122,52,192
reg_6386,1,2,1,1,3,1,1,1,5,1,29,5,62,22,67
reg_6387,16,1,21,6,3,30,13,17,41,19,16,4,11,13,53
reg_6388,1,1,8,5,7,10,1,1,1,3,21,8,34,8,32
reg_6389,1,1,56,120,15,62,42,40,90,85,142,35,299,158,377
reg_6390,1,22,44,31,13,12,74,33,58,1,75,2,93,83,190
reg_6391,9,1,48,1,16,20,30,1,62,27,14,1,3,2,4
reg_6392,8,1,32,69,16,3,4,14,42,1,102,8,98,118,398
reg_6393,25,18,19,34,7,19,1,14,92,1,41,1,71,35,72
reg_6394,1,1,1,10,2,10,2,1,23,1,10,8,11,9,37
reg_6395,1,5,1,4,1,1,1,1,4,1,15,2,10,16,35
reg_6396,1,1,1,1,8,3,1,2,6,6,13,1,24,24,58
reg_6397,30,37,65,88,18,48,38,25,88,21,80,27,164,135,228
reg_6398,1,35,17,233,36,47,20,66,113,20,188,65,455,283,742
reg_6399,11,11,4,9,14,1,18,4,38,2,10,1,21,19,28
reg_6400,376,322,605,766,641,566,1398,344,446,650,457,160,1215,978,1987
reg_6401,23,7,22,194,23,94,90,25,63,103,34,24,117,54,125
reg_6402,1,1,1,51,10,31,5,54,24,17,25,18,3,18,54
reg_6403,1,1,1,1,2,1,10,5,3,7,23,30,39,77,215
reg_6404,1,9,1,57,1,23,4,14,12,1,70,18,65,52,185
reg_6405,5,1,3,12,1,11,1,7,23,1,18,7,14,12,47
reg_6406,171,97,156,173,147,126,181,206,344,206,158,40,612,536,1132
reg_6407,57,1,36,161,21,1,1,40,19,1,11,1,1,10,1
reg_6408,1,13,1,18,7,5,1,7,2,1,18,1,32,12,50
reg_6409,10,6,21,46,48,41,12,35,29,22,29,23,46,33,94
reg_6410,241,278,239,331,268,288,274,238,192,252,153,80,473,230,755
reg_6411,164,158,55,94,97,43,92,119,143,16,78,1,188,99,241
reg_6412,230,168,171,271,127,100,180,227,298,135,107,52,238,129,257
reg_6413,1,1,5,13,14,1,3,1,14,8,17,11,25,38,45
reg_6414,51,35,71,107,71,42,39,54,128,76,27,16,48,35,101
reg_6415,2,10,15,1,1,10,8,23,26,29,16,1,7,1,10
reg_6416,3,1,1,1,1,4,1,4,5,3,23,1,25,12,39
reg_6417,37,34,26,20,14,37,50,85,27,190,51,27,81,104,202
reg_6418,11,1,3,14,1,1,12,26,32,1,39,1,95,39,139
reg_6419,1,1,17,13,4,1,32,38,77,23,26,20,27,45,71
reg_6420,3,1,6,2,19,1,18,44,125,48,40,9,15,14,50
reg_6421,7,1,1,7,1,6,8,3,23,95,54,30,71,42,132
reg_6422,7,8,13,151,1,51,11,26,34,9,112,4,184,188,310
reg_6423,2,2,8,98,1,61,15,19,16,1,95,38,255,238,344
reg_6424,1,4,3,1,1,16,1,5,11,6,2,6,1,10,12
reg_6425,8,7,6,28,7,65,12,26,26,8,16,7,40,17,51
reg_6426,4,5,1,6,1,9,5,2,31,1,2,3,35,16,59
reg_6427,21,89,83,39,92,21,208,54,129,52,48,18,105,52,226
reg_6428,63,132,127,84,219,63,316,141,219,144,58,28,110,72,260
reg_6429,66,66,101,68,85,33,65,27,11,37,39,4,5,8,36
reg_6430,19,1,119,78,39,51,175,56,41,1,17,17,3,54,73
