logFC,logCPM,LR,PValue
reg_6364,-1.54237305046268,7.81153914826616,4.20792691659324,0.0402354815351262
reg_6365,-0.366820938164626,8.64637216587023,0.740725769091341,0.38942848755629
reg_6366,-3.71397599323224,7.19462602123945,26.9011205315549,2.14134697377897e-07
reg_6367,-3.95792701264775,7.90895218207296,40.6804721400891,1.79269756854795e-10
reg_6368,-1.11800924403848,6.53340757013691,3.58522380627843,0.0582955637486594
reg_6369,-1.75031846264675,12.4393070951361,35.1563107736783,3.04273764454867e-09
reg_6370,-0.92387637324363,8.16167745688334,1.80836829540159,0.178704092208641
reg_6371,-1.72672965699279,12.2045727360964,29.8065078598373,4.77386808997908e-08
reg_6372,-3.42131743251346,7.1075055437531,19.1972257811699,1.17884585581257e-05
reg_6373,-0.978630916888703,10.4703863176775,5.71308661137754,0.0168389068169319
reg_6374,-0.439026729803189,8.26340054662953,0.756183413458341,0.384525559081071
reg_6375,2.29216365385891,7.11364305120121,7.73755812797473,0.00540838882646315
reg_6376,0.533631948313426,7.70160974013066,1.14649543962968,0.284283980281558
reg_6377,-0.377072145804175,10.5507542592434,1.02244300879306,0.311940220710934
reg_6378,-0.833046203299557,7.62093916545588,1.97898619136428,0.159497250150742
reg_6379,-0.0249581597398891,8.79434440310988,0.00348749056225817,0.952908317454629
reg_6380,1.06060127519597,9.60889035922478,4.42939459765882,0.0353250356197851
reg_6381,-1.80084752013452,7.85274177835537,6.97872432083236,0.00824843840896571
reg_6382,0.0711077935123148,9.57315277461654,0.0261198430968257,0.871607984778769
reg_6383,-1.90893721020857,7.5375490792504,7.53005747170489,0.00606779718488644
reg_6384,-2.54870000573014,9.15323102590809,25.241846511967,5.05729115486888e-07
reg_6385,-1.79409992037659,8.11044330913908,7.21786110419277,0.00721816668620137
reg_6386,-3.93109287712547,6.6231568318512,47.1335181916933,6.63119299880867e-12
reg_6387,0.27799121334594,7.18388953072924,0.191520087341532,0.661654462009637
reg_6388,-2.09623749127061,6.37535754543432,11.1870221895989,0.000823714341706828
reg_6389,-1.6671821101821,9.42031345881579,7.46199447749448,0.0063015150356889
reg_6390,-1.2163127923326,8.32863254260526,3.54549796200714,0.0597072429103816
reg_6391,2.34408213365152,7.14779344724141,6.43947773701563,0.0111611455427346
reg_6392,-2.51754741539149,8.50255229914415,14.0535363636482,0.000177679407164773
reg_6393,-0.553451517945312,7.74905307712665,0.634192350321968,0.425821689396098
reg_6394,-1.54758600206586,6.15525809152002,5.6802360846943,0.0171570590342621
reg_6395,-2.49372960363878,5.85186199965698,17.886547752026,2.34472636882461e-05
reg_6396,-2.33983022364149,6.28916109350447,13.1389307195265,0.000289222869388309
reg_6397,-1.16369487570374,9.04404800691569,8.42028803792901,0.00371057005381827
reg_6398,-2.38529662102823,9.93049661846059,19.6027212109602,9.53333208637844e-06
reg_6399,-0.106244295787013,6.73860434915235,0.0268785443677224,0.869773045717867
reg_6400,-0.129422596132483,12.4259346230181,0.105447592138717,0.745387735834719
reg_6401,0.106005540225552,9.00079208691419,0.0335049177011495,0.854763898229972
reg_6402,-0.396124970027496,7.43009686091002,0.256320248901805,0.612659539289385
reg_6403,-4.13024907484385,7.6408567585017,38.1256375024773,6.63328076035508e-10
reg_6404,-2.48438172219995,7.83665927962413,13.5925956210755,0.000227079428263023
reg_6405,-1.42100899418166,6.45400752622877,5.57958364002597,0.0181710421619192
reg_6406,-0.833672678899924,10.9676669123781,3.94117473191353,0.0471178634928017
reg_6407,2.86776511027947,7.74582636300936,6.20341839403266,0.0127503826680963
reg_6408,-1.42929162713181,6.45315415723742,4.50880887243913,0.0337207156412796
reg_6409,-0.526860007308771,8.07423718466786,1.0936322692449,0.295667814462407
reg_6410,0.205760218357893,11.1576081122014,0.289590299267694,0.590483195793927
reg_6411,0.475714862468611,9.73810614443493,0.58347629224593,0.444952942208809
reg_6412,0.667333290068196,10.5476618762922,2.78407032129587,0.0952059282429545
reg_6413,-2.00422099176837,6.81553454559953,10.0996623971103,0.00148296489257195
reg_6414,0.941387572724794,8.95213470529562,4.40999089813939,0.0357290317607175
reg_6415,1.26089520946635,6.65999991572072,2.49306785929999,0.114348633355085
reg_6416,-2.48878996394346,6.08707249106651,18.3092599688093,1.87792129672932e-05
reg_6417,-0.203072580915119,9.15434379235243,0.102509066793592,0.748839182067502
reg_6418,-2.1043130746775,7.48374455273253,8.21844649847213,0.00414666835747318
reg_6419,-0.943928229457339,7.69762454464395,1.74400663658256,0.186631959128217
reg_6420,0.192696127958133,7.67362442334179,0.0537349704557926,0.816687107012563
reg_6421,-1.51968624768184,8.10029335109303,3.05711404197251,0.080384323516617
reg_6422,-2.11859642636224,8.84911435220453,10.3346202317594,0.00130557984059949
reg_6423,-3.06153411371581,9.04240517501348,19.1132912235194,1.23184035450735e-05
reg_6424,-0.419319936486122,5.86495498773693,0.299668593368086,0.584090257565444
reg_6425,-0.168584386637651,7.39500584250026,0.0926649623346449,0.760816157975602
reg_6426,-1.47907459697041,6.46164003791811,4.82321794119779,0.0280788774401637
reg_6427,0.325486388591937,9.28762206605008,0.401634562082144,0.526246306121129
reg_6428,1.00678315972116,10.0974458409639,4.82904882550472,0.0279840653941354
reg_6429,2.1878627457109,8.68671505928882,10.1282493225773,0.00146014025371567
reg_6430,0.853811571438335,8.63255643990451,1.10829656631006,0.292452537148694
reg_6431,1.54826070459542,11.3043127888066,8.84296834759534,0.00294220230487097
reg_6432,-2.17901309027339,7.76567816582233,10.9572166016404,0.00093239768007039
reg_6433,-0.966375240928973,6.60569314813162,2.00145524145657,0.157148269018046
reg_6434,4.23031644267623,8.38049564602454,18.3835866913661,1.80607041944124e-05
reg_6435,0.767872554343416,6.52760755052856,0.815251785938477,0.366572099821057
reg_6436,2.09398787596347,10.349714747074,15.5401545924668,8.07711915411071e-05
reg_6437,3.20839836320208,7.63055548306297,12.8142945885454,0.000343981077064724
reg_6438,3.68811959696976,9.19278195639493,15.1813647874212,9.76624740584928e-05
reg_6439,0.994059142100157,6.03747998179333,1.54144410912235,0.214402980359362
reg_6440,1.73917967896342,9.09819606489556,3.543006438494,0.0597969833538179
reg_6441,-1.35321974147425,8.0780623644455,4.33240218196154,0.0373934373542387
reg_6442,-1.76017843484586,6.94078409854558,8.37986307130064,0.00379401006940928
reg_6443,-2.44790384216628,7.43536357773147,14.5495482854185,0.000136521379523482
reg_6444,-1.62181925694676,9.50706051097261,15.8392450769523,6.89573422689645e-05
reg_6445,-2.4580292512543,8.02097397547191,12.2138483661568,0.000474360832609959
reg_6446,-0.396280226354279,9.76362875969133,1.09884125154731,0.294520541834156
reg_6447,2.89360325207528,8.18307410113002,15.4362461611203,8.53357225008935e-05
reg_6448,-1.3318189535333,9.96635906289487,8.70700430004863,0.0031698969418969
reg_6449,-1.19403443504846,9.1868137715815,4.01982117263583,0.0449684813972033
reg_6450,-2.30415195511368,6.7904830221756,14.6926872382672,0.000126536360510158
reg_6451,-1.601604183908,7.5044567956369,7.11569140788114,0.00764121280345916
reg_6452,-1.58969886117037,8.74841583700873,10.3782349675444,0.00127509533515855
reg_6453,-1.2772155088154,6.43818265374536,3.50877435720431,0.0610446000622926
reg_6454,-2.67570348257826,8.40753927273335,21.4834720224184,3.5689150238089e-06
reg_6455,-1.02189467019392,7.1737135554309,1.57264974531768,0.209822623377257
reg_6456,0.41711252336623,8.6640758108459,0.359721936533692,0.548660705384028
reg_6457,-0.951246192739559,9.30953778244192,2.06782147374733,0.150436276517654
reg_6458,-2.10766325753244,7.47351465807532,7.68388989907328,0.00557159416915606
reg_6459,-1.68482394803868,7.18500212023826,5.43451460236814,0.0197425769267487
reg_6460,-2.56016114304495,7.8961526295123,10.5968652999889,0.00113279555590006
reg_6461,-3.01888416187723,6.35251990475116,24.4117234948854,7.77938450514171e-07
reg_6462,-0.791247387518881,12.1306073085237,3.44970594218401,0.0632630240398174
reg_6463,-1.72965951675334,8.26029887338737,7.09336504223598,0.00773698397463083
reg_6464,-0.588879212837592,7.8872753809616,1.0622875913736,0.302694017747181
reg_6465,1.22785640740741,11.0946498557724,6.44469257608514,0.0111284297914322
reg_6466,2.13311786689116,7.58148839375035,6.03158047353199,0.0140521457037915
reg_6467,-1.25396167623297,6.76003660484455,2.87907048204927,0.0897378091006765
reg_6468,3.52693357352569,8.12993543591734,16.5852697693832,4.65108686263535e-05
reg_6469,2.1072092862861,7.6725705687628,6.33743264718092,0.0118215867315363
reg_6470,-0.702256867924403,10.6336542933103,2.12857325599014,0.144575270830041
reg_6471,-0.733095888394529,7.71908274709082,2.0288683237202,0.15433549112486
reg_6472,-0.0744912590402141,13.8923830033205,0.0502973417584585,0.822546682436926
reg_6473,-0.671334493330372,7.72371015286925,1.77768705431381,0.182433599518809
reg_6474,0.65114275928325,6.48541930572078,0.514827865805312,0.473056345386348
reg_6475,-0.897468549315678,7.00889513508747,3.5641256742318,0.0590408252073725
reg_6476,-0.543908428309915,11.8701832307472,2.86357716473226,0.0906058008274211
reg_6477,0.0573056275723646,12.9895619914079,0.0210097469070831,0.884752406856035
reg_6478,0.0129628669850106,8.15531152104003,0.000490682034483214,0.982327230035785
reg_6479,0.57811517188157,9.76148974696962,1.82007953222235,0.177303810105755
reg_6480,0.408387853002373,11.8180903303702,1.25726064475919,0.262170250770631
reg_6481,-0.23041756916285,8.03597242075161,0.186386773534316,0.665941044363055
reg_6482,-0.680358876710156,11.7697893995719,3.33582097583343,0.0677865699541439
reg_6483,-0.564653097502966,8.21130742526224,1.09371789283281,0.295648909718292
reg_6484,0.208457658015559,11.6796764800339,0.340346267237452,0.559629418080583
reg_6485,-2.01139474440383,8.49568876301746,15.6101572808168,7.78353559358471e-05
reg_6486,-1.01728368666384,6.56727073044615,2.4803377540356,0.115277495242024
reg_6487,0.0964216783833622,8.67077227929043,0.0245925985803481,0.875386493594957
reg_6488,0.126057406624025,6.7757753110962,0.0412525772749941,0.839051162301703
reg_6489,-0.463634581899399,9.86779737245291,1.06098043954824,0.302991675934361
reg_6490,-0.667683869167609,11.1799041418227,2.94405494483378,0.0861941029454459
reg_6491,0.50161541083959,7.39458413904801,0.773412060752115,0.379163569418356
reg_6492,-0.901314971737372,8.97103012935554,4.239073478245,0.039503719781019
reg_6493,1.49871887629229,6.44662087353481,3.6745866947666,0.0552479497031518
reg_6494,-0.0373926873250996,8.83243697591889,0.0052841982457803,0.942050824066607
reg_6495,-0.336301607961139,9.4999029408104,0.539666239697459,0.462571080450035
reg_6496,0.556861697804491,8.86788790308112,0.830591809205862,0.362101457024583
reg_6497,-0.0304669452590538,8.44730413471802,0.00324375761028683,0.954581841842074
reg_6498,1.75804432051899,6.78356528501494,2.64430948126676,0.103921303300799
reg_6499,0.242547186698598,7.94185563909605,0.0500873160211732,0.822911407014756
reg_6500,1.94872750620996,7.31476871790586,3.3885237630693,0.0656517041362815
reg_6501,1.02995296828556,7.74664934374897,1.04904030702516,0.305728216322599
reg_6502,-0.417156328378835,6.5778692597581,0.391038927117117,0.531753802564928
reg_6503,-0.334827370045845,10.1940323009372,0.638624773719673,0.424209225643075
reg_6504,-1.24665044513978,7.32382545546002,4.80402861354877,0.0283932693303614
reg_6505,-2.28099680489312,8.4629708344475,7.28002209810275,0.00697256782559705
reg_6506,-1.45079384499279,6.39733723420068,3.21576878872686,0.0729319233650167
reg_6507,1.88371084065956,7.24778979260514,3.86362411348599,0.0493436356981337
reg_6508,1.35613314525655,8.3857638081764,2.23259483877366,0.13512674529891
reg_6509,-1.29146638916572,6.70676167389223,2.72976996577207,0.0984934703466127
reg_6510,0.114969829020983,9.78559750561429,0.0392185154222382,0.843016387653432
reg_6511,-2.52835954187566,6.20606406156879,15.8224000085138,6.95739559116673e-05
reg_6512,-2.27742299749984,5.73922373846344,12.4064680519171,0.00042784932132055
reg_6513,-2.86683568875189,8.85071245141778,14.453625044033,0.000143653104320553
reg_6514,-1.47755619374824,8.3104156410338,6.76182692779326,0.00931283677888006
reg_6515,-1.85147042193118,7.58649228260452,12.2310746526918,0.00047000119703138
reg_6516,-1.09702483475461,6.48456115640068,3.25473374066148,0.0712175026714873
reg_6517,-2.43598158884642,6.98973840497594,16.9305039932854,3.87734781213252e-05
reg_6518,-0.129829680019672,8.75066086982603,0.051097504790846,0.821164420662591
reg_6519,2.3758803101138,7.69860622980183,8.3804786131581,0.00379272534420189
reg_6520,-0.49020750665393,9.98170849496385,0.955922137646313,0.328216435211365
reg_6521,-1.89797530433022,7.22331069784938,7.13691525234526,0.00755129460608005
reg_6522,-0.964975437757645,7.21113882172742,1.64308762320979,0.199902359818373
reg_6523,-1.59135045047762,5.95844854450028,5.37232981073864,0.0204586335065612
reg_6524,1.09817252446903,10.0732867174956,4.00512511085575,0.0453621303855089
reg_6525,0.485344256920269,9.75029208447799,0.783544016873662,0.376059440271893
reg_6526,1.2852046751559,12.8644900851964,14.0526624700607,0.00017776199019185
reg_6527,0.587512277604783,8.384244393227,0.63647719692371,0.424989341509546
reg_6528,0.564266348026573,8.12421568493812,0.734661895288047,0.391376247805008
reg_6529,-0.246948639777239,6.59567310925419,0.132051560746756,0.716314322414066
reg_6530,-0.13167291789885,7.57849880819709,0.0437928861934722,0.834239421984702
reg_6531,-2.37294778283666,7.78342621327861,11.2931037903853,0.000777955158244845
reg_6532,-1.32340010653651,8.72813661205033,8.13542681623138,0.00434086279501042
reg_6533,0.0105008333996732,7.79831041164821,0.00023366100431943,0.987804032220821
reg_6534,-0.784942607235138,11.0004779254905,3.16817791222129,0.0750861709647491
reg_6535,-0.976434168919236,8.77126276804281,3.55695316434765,0.059296484998296
reg_6536,0.320416143393638,10.1895653268246,0.425406821588654,0.514251400978554
reg_6537,1.42641130328962,8.25927640795594,6.78796455380044,0.00917744908699164
