groups,sizeFactor,Tissue,SampleID,Treatment
SQ_2157,K_org,2.48993570389566,4KE,SQ_2157,K_org
SQ_1990,K_org,2.75806001562398,8KE,SQ_1990,K_org
SQ_2010,K_org,2.76035182837185,10KE,SQ_2010,K_org
SQ_2163,K_org,2.42589201677077,13KE,SQ_2163,K_org
SQ_2204,K_org,1.8635337965705,18KE,SQ_2204,K_org
SQ_2212,K_org,2.58077823177934,11KW,SQ_2212,K_org
SQ_2216,K_org,2.15935805018119,24KE,SQ_2216,K_org
SQ_2222,K_org,2.20392666288106,22KE,SQ_2222,K_org
SQ_2288,K_org,2.40296361036072,36KE,SQ_2288,K_org
SQ_2303,K_org,2.43044519440515,41KE,SQ_2303,K_org
SQ_2298,N_crypts,3.75652856598352,CR_41_mp,SQ_2298,N_crypts
SQ_2145,N_crypts,2.80484959978842,CR_28_mp,SQ_2145,N_crypts
GSM2058021,N_crypts,1.25252995058334,CR_28,GSM2058021,N_crypts
GSM2058022,N_crypts,1,CR_29,GSM2058022,N_crypts
GSM2058023,N_crypts,2.47690318580196,CR_37,GSM2058023,N_crypts
